City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,kaindy,42.8247,73.6759,23.39,45,0,2.4,KG,1689979491
122,el abiodh sidi cheikh,32.893,0.5484,31.68,13,23,1.6,DZ,1689979491
123,san borja,-14.8167,-66.85,24.56,60,0,0.67,BO,1689979491
124,ta`u,-14.2336,-169.5144,27.67,78,10,3.35,AS,1689979491
125,hawaiian paradise park,19.5933,-154.9731,27.73,82,75,0.45,US,1689979491
126,camana,-16.6228,-72.7111,17.69,82,49,3.11,PE,1689979492
127,constantia,44.1833,28.65,20.39,83,0,4.72,RO,1689979212
128,ilulissat,69.2167,-51.1,7.01,93,75,0.0,GL,1689979492
129,vadso,70.0744,29.7487,8.49,100,100,6.69,NO,1689979492
130,vorgashor,67.5833,63.95,15.91,90,58,2.88,RU,1689979492
131,guantanamo,20.1444,-75.2092,30.76,65,2,2.89,CU,1689979492
132,new london,41.4834,-72.0662,25.43,92,100,4.63,US,1689979492
133,tsiombe,-25.3,45.4833,18.43,64,20,5.45,MG,1689979492
134,muroto-misakicho,33.2833,134.15,26.12,84,5,3.37,JP,1689979493
135,katima mulilo,-17.5,24.2667,15.12,71,0,2.49,NA,1689979493
136,ola,59.5833,151.2833,18.97,87,99,3.35,RU,1689979493
137,vila franca do campo,37.7167,-25.4333,21.23,90,96,0.52,PT,1689979493
138,labuan,5.2767,115.2417,24.2,94,20,0.0,MY,1689979493
139,st. john's,47.5649,-52.7093,25.66,69,20,4.63,CA,1689979493
140,ikizce,41.0583,37.0803,18.12,77,0,1.89,TR,1689979493
141,holualoa,19.6228,-155.9522,27.15,84,75,4.12,US,1689979493
142,kyaikto,17.3,97.0167,25.84,91,100,0.56,MM,1689979494
143,chulakkurgan,43.765,69.1814,25.02,29,0,5.01,KZ,1689979494
144,yuanping,38.7153,112.7575,19.42,85,6,0.6,CN,1689979494
145,whitehorse,60.7161,-135.0538,26.43,38,75,1.79,CA,1689979364
146,keren,15.7778,38.4581,21.15,81,99,1.56,ER,1689979494
147,gaalkacyo,6.7697,47.4308,25.94,65,100,11.55,SO,1689979494
148,pariaman,-0.619,100.12,23.03,85,55,1.44,ID,1689979494
149,colonia,50.9333,6.95,15.48,72,0,1.54,DE,1689979449
150,kingston,17.997,-76.7936,32.53,66,20,10.29,JM,1689979300
151,mochudi,-24.4167,26.15,11.33,78,97,4.66,BW,1689979495
152,swakopmund,-22.6833,14.5333,10.55,89,0,1.44,NA,1689979495
153,mitu,1.1983,-70.1733,22.92,96,48,0.59,CO,1689979495
154,dudinka,69.4058,86.1778,19.79,72,100,3.41,RU,1689979495
155,laojunmiao,39.8333,97.7333,20.04,24,3,2.5,CN,1689979495
156,rosetta,31.4044,30.4164,26.8,74,0,3.98,EG,1689979495
157,uturoa,-16.7333,-151.4333,24.31,65,28,6.29,PF,1689979495
158,mangrol,21.1167,70.1167,27.49,86,94,6.44,IN,1689979495
159,paita,-5.0892,-81.1144,22.36,78,2,8.6,PE,1689979495
160,nar'yan-mar,67.6713,53.087,8.12,94,84,6.1,RU,1689979495
161,luganville,-15.5333,167.1667,23.77,86,100,3.21,VU,1689979496
162,hammerfest,70.6634,23.6821,9.25,81,20,5.14,NO,1689979496
163,mariehamn,60.0973,19.9348,13.92,94,0,2.06,AX,1689979496
164,inhambane,-23.865,35.3833,17.79,74,46,2.7,MZ,1689979496
165,srivardhan,18.0333,73.0167,25.16,93,100,6.2,IN,1689979496
166,san juan de uraba,8.7592,-76.5297,27.98,90,99,2.51,CO,1689979496
167,guaimaro,21.05,-77.35,28.52,80,11,5.78,CU,1689979496
168,tambacounda,13.7539,-13.7586,30.03,79,40,2.06,SN,1689979497
169,suntar,62.1444,117.6319,19.38,84,53,1.65,RU,1689979497
170,pithiviers,48.1667,2.25,18.23,56,55,3.4,FR,1689979497
171,bagepalli,13.7847,77.7931,22.42,76,100,10.16,IN,1689979497
172,buchanan,5.8808,-10.0467,24.68,87,98,5.03,LR,1689979497
173,malango,-2.9627,119.9001,18.8,96,37,0.68,ID,1689979497
174,hadibu,12.65,54.0333,25.87,81,69,11.92,YE,1689979497
175,sosnovka,56.255,51.2842,14.51,98,100,2.34,RU,1689979497
176,cobija,-11.0267,-68.7692,32.1,55,20,0.0,BO,1689979497
177,bulungu,-4.55,18.6,25.88,41,59,0.5,CD,1689979498
178,basco,20.4487,121.9702,28.99,77,18,5.53,PH,1689979498
179,nikol'sk,53.7189,46.0712,11.99,96,27,1.53,RU,1689979498
180,alice springs,-23.7,133.8833,2.75,93,0,2.06,AU,1689979498
181,sur,22.5667,59.5289,30.61,65,100,1.81,OM,1689979498
182,olinda,-8.0089,-34.8553,25.85,69,40,5.66,BR,1689979478
183,kristiansund,63.1115,7.732,11.36,93,100,2.57,NO,1689979498
184,corner brook,48.9667,-57.9484,25.09,91,40,2.43,CA,1689979229
185,kavieng,-2.5744,150.7967,28.32,75,87,3.98,PG,1689979499
186,alofi,-19.0595,-169.9187,26.94,89,13,2.57,NU,1689979499
187,muisne,0.6,-80.0333,26.44,84,79,3.55,EC,1689979499
188,kapa'a,22.0752,-159.319,29.18,74,100,5.66,US,1689979499
189,iskateley,67.6803,53.1512,8.06,94,86,6.04,RU,1689979499
190,puerto armuelles,8.2833,-82.8667,28.99,85,100,2.24,PA,1689979339
191,saint-joseph,-21.3667,55.6167,20.21,85,60,6.75,RE,1689979499
192,alghero,40.5589,8.3181,24.05,88,0,0.51,IT,1689979499
193,haimen,23.1935,116.6142,26.94,88,100,0.96,CN,1689979500
194,weno,7.4515,151.8468,26.97,89,100,2.57,FM,1689979500
195,vijayawada,16.5167,80.6167,25.97,75,100,5.93,IN,1689979500
196,saynshand,44.8824,110.1163,17.96,64,81,5.42,MN,1689979500
197,jamestown,42.097,-79.2353,23.03,67,75,4.63,US,1689979350
198,zelenogorsk,56.1147,94.5861,18.39,79,100,0.11,RU,1689979500
199,ratodero,27.803,68.2871,35.28,51,90,3.25,PK,1689979500
200,puerto carreno,6.189,-67.4859,24.99,94,75,1.03,CO,1689979500
201,tinajo,29.0788,-13.7081,22.49,73,20,10.8,ES,1689979501
202,harper,4.375,-7.7169,25.09,84,80,6.28,LR,1689979501
203,chikwawa,-16.0335,34.8009,18.7,83,22,2.12,MW,1689979501
204,benjamin constant,-4.3831,-70.0311,31.07,70,0,1.54,BR,1689979501
205,i-n-salah,27.1935,2.4607,37.28,9,0,8.79,DZ,1689979501
206,hultsfred,57.4882,15.8436,9.47,85,68,2.21,SE,1689979501
207,magadan,59.5667,150.8,18.63,85,93,3.68,RU,1689979501
208,turgen,43.4006,77.5933,18.07,50,0,2.55,KZ,1689979502
209,coahuayana de hidalgo,18.7,-103.6583,31.88,62,27,3.0,MX,1689979502
210,huetamo de nunez,18.5833,-100.8833,37.12,32,28,0.86,MX,1689979502
211,emerald,-23.5333,148.1667,16.3,50,22,7.73,AU,1689979247
212,kasane,-17.8167,25.15,15.19,70,1,2.47,BW,1689979503
213,chingola,-12.529,27.8838,14.09,60,1,2.47,ZM,1689979503
214,midvagur,62.0511,-7.1939,11.46,82,100,4.12,FO,1689979503
215,talsi,57.2456,22.5814,10.93,92,44,3.4,LV,1689979504
216,ballina,-28.8667,153.5667,13.77,67,6,4.76,AU,1689979504
217,bel ombre,-4.6167,55.4167,25.91,73,20,3.09,SC,1689979504
218,hermanus,-34.4187,19.2345,10.96,61,98,2.7,ZA,1689979504
